Major VMRS;Intermediate VMRS;Minor VMRS;Description;Miscellaneous;Job Hours 1;Job Hours 2;Job Hours 3;Job Hours 4;Job Hours 5;Job Hours 6;Job Hours 7;Warranty Flag;Scheduled Flag;Condition Prompt;Delete VMRS
1;0;0;A/C, HEATING & VENTILATING SYSTEM;A/C HEAT;1;1.5;2;1;1;.7;.5;Y;;;
1;1;0;REFRIGERANT, ADD;A/C HEAT;1;1.5;2;1;1;.7;.5;N;;;
1;2;0;A/C REFRIGERANT, RECOVER;A/C HEAT;1;1.5;2;1;1;.7;.5;N;;;
1;3;0;A/C LEAK TEST;A/C HEAT;1;1.5;2;1;1;.7;.5;N;;;
1;4;0;A/C CONDENSER;A/C HEAT;1;1.5;2;1;1;.7;.5;Y;;;
1;5;0;A/C COMPRESSOR;A/C HEAT;1;1.5;2;1;1;.7;.5;Y;;;
1;6;0;A/C EVAPORATOR;A/C HEAT;1;1.5;2;1;1;.7;.5;Y;;;
1;7;0;A/C ACCUMULATOR;A/C HEAT;1;1.5;2;1;1;.7;.5;Y;;;
1;8;0;A/C EXPANSION VALVE;A/C HEAT;1;1.5;2;1;1;.7;.5;Y;;;
1;9;0;A/C ASSEMBLY - AUXILIARY;A/C HEAT;1;1.5;2;1;1;.7;.5;Y;;;
1;10;0;A/C BELT;A/C HEAT;1;1.5;2;1;1;.7;.5;Y;;;
1;11;0;A/C CONTROL ASSEMBLY - DASH;A/C HEAT;1;1.5;2;1;1;.7;.5;Y;;;
1;12;0;A/C DOOR - DEFROSTER;A/C HEAT;1;1.5;2;1;1;.7;.5;Y;;;
1;13;0;A/C ENGINE DIESEL TK;A/C HEAT;1;1.5;2;1;1;.7;.5;Y;;;
1;14;0;A/C ENGINE GAS SMALL;A/C HEAT;1;1.5;2;1;1;.7;.5;Y;;;
1;15;0;A/C FAN - BLOWER;A/C HEAT;1;1.5;2;1;1;.7;.5;Y;;;
1;16;0;A/C FAN - CONDENSER;A/C HEAT;1;1.5;2;1;1;.7;.5;Y;;;
1;17;0;A/C FAN - EVAPORATOR;A/C HEAT;1;1.5;2;1;1;.7;.5;Y;;;
1;18;0;A/C HEATER - MODULE - CONTROL, BLOWER;A/C HEAT;1;1.5;2;1;1;.7;.5;Y;;;
1;19;0;A/C HOSE ASSEMBLY;A/C HEAT;1;1.5;2;1;1;.7;.5;Y;;;
1;20;0;A/C LEVER - DEFROST;A/C HEAT;1;1.5;2;1;1;.7;.5;Y;;;
1;21;0;A/C LINE;A/C HEAT;1;1.5;2;1;1;.7;.5;Y;;;
1;22;0;A/C LINE TO RECEIVER DEHYDRATOR/DRIER;A/C HEAT;1;1.5;2;1;1;.7;.5;Y;;;
1;23;0;A/C LINE TO EXPANSION VALVE ;A/C HEAT;1;1.5;2;1;1;.7;.5;Y;;;
1;24;0;A/C LINE TO EVAPORATOR;A/C HEAT;1;1.5;2;1;1;.7;.5;Y;;;
1;25;0;A/C LINE TO ACCUMULATOR;A/C HEAT;1;1.5;2;1;1;.7;.5;Y;;;
1;26;0;A/C LINE TO COMPRESSOR;A/C HEAT;1;1.5;2;1;1;.7;.5;Y;;;
1;27;0;A/C LINE TO CONDENSER;A/C HEAT;1;1.5;2;1;1;.7;.5;Y;;;
1;28;0;A/C PULLEY IDLER/TENSIONER;A/C HEAT;1;1.5;2;1;1;.7;.5;Y;;;
